Entity,Code,Year,Number of people not in extreme poverty (people),Number of people living in extreme poverty (people)
World,OWID_WRL,1820,60612233.36,1021749077
World,OWID_WRL,1850,94701155.55,1167980918
World,OWID_WRL,1870,145524976,1253753639
World,OWID_WRL,1890,222681713.8,1334533068
World,OWID_WRL,1910,308000000,1442000000
World,OWID_WRL,1929,492839708.8,1552138336
World,OWID_WRL,1950,708120000,1811880000
World,OWID_WRL,1960,1080283050,1945719892
World,OWID_WRL,1970,1472777874,2218394742
World,OWID_WRL,1981,2532224584,1986377458
World,OWID_WRL,1984,2819363014,1946294548
World,OWID_WRL,1987,3173310637,1860494307
World,OWID_WRL,1990,3349869351,1959798348
World,OWID_WRL,1993,3632226592,1937818788
World,OWID_WRL,1996,4083568477,1731823828
World,OWID_WRL,1999,4290096330,1759108873
World,OWID_WRL,2002,4630684632,1651617135
World,OWID_WRL,2005,5155728030,1363907820
World,OWID_WRL,2008,5502296697,1261436182
World,OWID_WRL,2010,5802258779,1127466264
World,OWID_WRL,2011,6023131152,990295899.7
World,OWID_WRL,2012,6193988645,903511807.7
World,OWID_WRL,2015,6643922777,705549321.5